trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.3, 'e': 0.7046880897187134}",20,0,-66.14486373270137,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.6872892787909722}",20,0,-49.96887848311527,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.6703200460356393}",20,1,-80.95702247647662,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.3, 'e': 0.6537697851298473}",25,0,-232.01050153300048,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 5}",0
18,False,"{'a': 0.3, 'e': 0.6376281516217732}",25,0,11.906383819480642,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.62188505646502}",20,0,-78.5284771357699,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.3, 'e': 0.6065306597126334}",20,6,-48.05951278691671,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.3, 'e': 0.5915553643668151}",20,0,-20.800053228070997,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.3, 'e': 0.5769498103804866}",25,0,-14.189848719342658,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.5627048688069557}",20,0,-38.20110848993772,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.5488116360940264}",25,0,30.625034219296776,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.5352614285189903}",30,13,-40.5194510600068,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.3, 'e': 0.522045776761016}",25,0,-65.1670068429209,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.3, 'e': 0.5091564206075491}",20,2,-45.433267699731076,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
28,False,"{'a': 0.3, 'e': 0.49658530379140947}",20,0,-41.75644203996053,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.4843245689553624}",20,0,-19.04957209216966,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.4723665527410147}",20,10,5.676383678316295,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.3, 'e': 0.4607037809989658}",30,20,-4.491487435443402,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.3, 'e': 0.44932896411722156}",25,11,-84.31272730314535,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
